SMILES,ID
CC(C1COc2c(O1)cccc2)NCC1COc2c(O1)cccc2.CC(C1COc2c(O1)cccc2)NCC1COc2c(O1)cccc2.OC(=O)C(=O)O,STOCK1N-00024
COc1c(OC)cc2c(c1OC)c1ccc(c(=O)cc1[C@H](CC2)NC(=O)C)NCc1cc(OC)c(c(c1)OC)OC,STOCK1N-00090
O=C(OC(C)(C)C)NC(C(=O)Oc1ccc2c(c1)oc(c(c2=O)c1ccc2c(c1)OCCCO2)C)Cc1ccccc1,STOCK1N-00162
COC(=O)c1ccc(cc1)Oc1coc2c(c1=O)ccc(c2)OC(=O)[C@@H](Cc1c[nH]c2c1cccc2)NC(=O)OCc1ccccc1,STOCK1N-00370
O=C(CC[C@@H](C(=O)Oc1cc(O)c2c(c1)oc(cc2=O)c1ccccc1)NC(=O)OCc1ccccc1)OCc1ccccc1,STOCK1N-00436
COC(=O)CCC1=C(C)/C/2=C/c3[nH]c(c(c3C)C(OC)C)/C=C/3\N=C(/C=c/4\[nH]/c(=C\C1=N2)/c(CCC(=O)OC)c4C)C(=C3C)C(OC)C,STOCK1N-00641
O=C(OC(C)(C)C)N[C@@H](C(=O)Oc1ccc2c(c1)occ(c2=O)c1ccc2c(c1)OCCO2)CSCNC(=O)c1ccccc1,STOCK1N-00685
CCCC1CC(OC1=O)(C)c1csc(n1)NCCNc1scc(n1)C1(C)CC(C(=O)O1)CCC.Br.Br,STOCK1N-00831
COC(=O)c1ccc(cc1)Oc1c(=O)c2ccc(cc2oc1C(F)(F)F)OC(=O)[C@@H](NC(=O)OCc1ccccc1)CCC(=O)OCc1ccccc1,STOCK1N-00990
O=C(OC(C)(C)C)N[C@H](C(=O)Oc1ccc2c(c1)oc(c(c2=O)Oc1ccccc1)C(F)(F)F)Cc1ccccc1,STOCK1N-01165
O=C(CC[C@@H](C(=O)Oc1ccc2c(c1)oc(=O)cc2c1ccccc1)NC(=O)OCc1ccccc1)OCc1ccccc1,STOCK1N-02115
COc1ccc(cc1)Oc1c(C)oc2c(c1=O)c(O)cc(c2)OC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C,STOCK1N-02639
CCc1cc2c(cc1OC(=O)CNC(=O)OC(C)(C)C)oc(c(c2=O)c1scc(n1)C)CNC(=O)OC(C)(C)C,STOCK1N-02722
O=C(Oc1ccc2c(c1)occ(c2=O)Oc1ccccc1F)CCCNC(=O)[C@@H](Cc1ccc(cc1)OC(=O)OC(C)(C)C)NC(=O)OC(C)(C)C,STOCK1N-02944
COc1cc2cc(NC(=N)Cc3ccc(c(c3)OC)OC)nc(c2cc1OC)Cc1ccc(c(c1)OC)OC.Cl.Cl,STOCK1N-02992
OC(=O)C(=O)O.COc1cc2c(cc1OC)CCN(C2Cc1ccc(cc1)OCOc1ccc(cc1)CC1N(C)CCc2c1cc(OC)c(c2)OC)C,STOCK1N-03202
CCc1cc2c(cc1OC(=O)[C@@H](NC(=O)OC(C)(C)C)C)oc(c(c2=O)c1scc(n1)C)[C@@H](NC(=O)OC(C)(C)C)C,STOCK1N-03222
CCCCc1cc2c(cc1OC(=O)[C@@H](Cc1ccc(cc1)OC(=O)OC(C)(C)C)NC(=O)OC(C)(C)C)occ(c2=O)c1csc(n1)C,STOCK1N-03462
COc1c2c(CC[C@@H](c3c2ccc(c(=O)c3)NCCNc2ccc3c(cc2=O)[C@H](CCc2c3c(OC)c(c(c2)OC)OC)NC(=O)C)NC(=O)C)cc(c1OC)OC,STOCK1N-03540
O=C(N[C@H](C(=O)Oc1ccc2c(c1)oc(c(c2=O)c1ccc2c(c1)OCCO2)C(F)(F)F)C)OCc1ccccc1,STOCK1N-03849
COc1ccc(cc1)Oc1coc2c(c1=O)ccc(c2)OC(=O)C(Cc1c[nH]c2c1cccc2)NC(=O)OC(C)(C)C,STOCK1N-03884
COC(=O)[C@@H](Cc1c[nH]c2c1cccc2)NC(=O)C(Oc1cc2occ(c(=O)c2cc1CC)c1scc(n1)C)C,STOCK1N-04030
