SMILES,ID
COc1c2c(cc3c1OCO3)O[C@@]([C@@H]([C@H](C2=O)C(=O)N1CCCC1N=C(C(C)C)O)c1ccccc1)(C(=O)O)c1ccc(cc1)OC,NPC470847
C/C=C(/C(=O)O[C@@H]1C(=C[C@@H]2C(=O)[C@@]3([C@@]1(O)[C@@H](OC(=O)C)C(=C3)C)[C@H](C)C[C@@H]1[C@H]2C1(C)C)COC(=O)c1ccccc1N=C(c1ccccc1N)O)\C,NPC476129
CC1=CCC[C@@H]2[C@@](C)(/C=C/C3=CC(=O)OC3)[C@](C)([C@H]([C@@H]([C@@]12C)OC(=O)c1cccnc1)OC(=O)c1ccccc1)O,NPC305151
CC(C)C(=N[C@@H]1CCCN1C(=O)[C@H]1[C@H](c2ccccc2)[C@]2(c3c(cc4c(c3OC)OCO4)O[C@]1(c1ccc(cc1)OC)[C@H]2O)O)O,NPC183850
C/C=C(\C)/C(=O)O[C@H]1[C@H]2[C@@H]([C@H]([C@@H](C)C(=O)[C@@]34C[C@H](C)[C@@H]([C@]3(/C=C(\C)/[C@H]1O)O4)OC(=O)c1ccccc1)OC(=O)C)C2(C)C,NPC272004
CCCCCCCC/C=C\CCCCCCCC(=O)OCC1=C[C@H]2[C@@H]3C(C)(C)[C@@]3([C@@H]([C@@H](C)[C@@]2([C@@H]2C=C(C)C(=O)[C@@H]2C1)O)O)OC(=O)C,NPC124676
CCCC(=O)O[C@@H]1[C@H](C(C)C)[C@H]2[C@]([C@H]1OC(=O)CCC)(C)[C@@H](OC(=O)CC)C[C@@]1([C@@H]2C=C(C)[C@@H]([C@@H]([C@H]1OC(=O)CCC)OC(=O)C)O)C,NPC181104
COc1cc(/C=C/COC(=O)c2ccccc2)cc2c1O[C@H]([C@@H]2COC(=O)c1ccccc1)c1ccc(c(c1)OC)O,NPC216916
COc1ccc(cc1Oc1ccc(cc1)C[C@H]1NCCc2c1cc(OC)c(c2)OC)C[C@H]1N(C)CCc2c1cc(OC)c(c2)OC,NPC475393
CCCCCCCCCCCCCC[C@H]([C@H]1CC[C@@H](O1)[C@H]1CC[C@@H](O1)[C@@H](CCCC[C@H](CC1=C[C@@H](OC1=O)C)O)O)O,NPC81045
CC[C@H]1C[C@H]2C[C@]3(c4c(CCN([C@@H]13)C2O)c1cc([C@@H]2C[C@@H]3C(C=C)CN(C)[C@@H](Cc5c6ccccc6[nH]c25)C3C(=O)OC)c(cc1[nH]4)OC)C(=O)OC,NPC485885
