Protein Name,Protein ChEMBL ID,Molecule ChEMBL ID,Standard Type,Standard Value,Standard Units,SMILES
Phosphodiesterase 5A,CHEMBL1827,CHEMBL327772,IC50,3.5,nM,CCCOc1ccc(S(=O)(=O)N2CCN(C(=O)N(C)C)CC2)cc1-c1nc2c(=O)n(C)c(=O)n(CC(C)C)c2[nH]1
Phosphodiesterase 5A,CHEMBL1827,CHEMBL433418,IC50,5.0,nM,CCCOc1ccc(S(N)(=O)=O)cc1-c1nc2c(=O)n(C)c(=O)n(CC(C)C)c2[nH]1
Phosphodiesterase 5A,CHEMBL1827,CHEMBL314849,IC50,3.5,nM,CCCOc1ccc(S(=O)(=O)N2CCN(CCO)CC2)cc1-c1nc2c(=O)n(C)c(=O)n(CC(C)C)c2[nH]1
Phosphodiesterase 5A,CHEMBL1827,CHEMBL86512,IC50,3.0,nM,CCCOc1ccc(S(=O)(=O)N2CCC(CCO)CC2)cc1-c1nc2c(=O)n(C)c(=O)n(CC(C)C)c2[nH]1
Phosphodiesterase 5A,CHEMBL1827,CHEMBL315477,IC50,5.5,nM,CCCOc1ccc(S(=O)(=O)N2CCN(CC)CC2)cc1-c1nc2c(=O)n(C)c(=O)n(CC(C)C)c2[nH]1
Phosphodiesterase 5A,CHEMBL1827,CHEMBL334291,IC50,3.5,nM,COc1ccc(CNc2nnc(Cl)c3ccc([N+](=O)[O-])cc23)cc1Cl
Phosphodiesterase 5A,CHEMBL1827,CHEMBL114145,IC50,5.3,nM,COc1ccc(CNc2nnc(Cl)c3ccc(C(F)(F)F)cc23)cc1Cl
Phosphodiesterase 5A,CHEMBL1827,CHEMBL115732,IC50,4.8,nM,COc1ccc(CNc2nnc(Cl)c3ccc(C#N)cc23)cc1Cl
Phosphodiesterase 5A,CHEMBL1827,CHEMBL418594,IC50,1.2,nM,O=C1[C@H]2Cc3c([nH]c4ccccc34)[C@@H](c3ccc4c(c3)OCO4)N2C(=O)CN1[C@@H]1CCN(CCc2ncc[nH]2)C1
Phosphodiesterase 5A,CHEMBL1827,CHEMBL33518,IC50,1.9,nM,O=C1[C@H]2Cc3c([nH]c4ccccc34)[C@@H](c3ccc4c(c3)OCO4)N2C(=O)CN1[C@@H]1CCN(CCc2cccnc2)C1
Phosphodiesterase 5A,CHEMBL1827,CHEMBL282515,IC50,0.7,nM,Cn1ccnc1CCN1CC[C@@H](N2CC(=O)N3[C@H](c4ccc5c(c4)OCO5)c4[nH]c5ccccc5c4C[C@@H]3C2=O)C1
Phosphodiesterase 5A,CHEMBL1827,CHEMBL286309,IC50,4.0,nM,O=C(CCN1CC[C@@H](N2CC(=O)N3[C@H](c4ccc5c(c4)OCO5)c4[nH]c5ccccc5c4C[C@@H]3C2=O)C1)N1CCC1
Phosphodiesterase 5A,CHEMBL1827,CHEMBL32255,IC50,2.1,nM,O=C1[C@H]2Cc3c([nH]c4ccccc34)[C@@H](c3ccc4c(c3)OCO4)N2C(=O)CN1[C@@H]1CCN(Cc2ccccc2)C1
