ID,SMILES,ADMET_Solubility_Level,ADMET_Unknown_AlogP98,ADMET_BBB_Level,ADMET_EXT_CYP2D6#Prediction,ADMET_EXT_Hepatotoxic#Prediction,ADMET_Absorption_Level,ADMET_EXT_PPB#Prediction
sp1,CCc1cccc2cccc(-c3ncc4c(nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)N3CC4CCC(C3)N4)c12,0,0,4,TRUE,FALSE,1,TRUE
sp2,CCc1cccc2cccc(-c3ncc4c(nc(OC[C@]56C[C@@H](O)CN5C[C@@H](O)C6)nc4c3F)N3CC4CCC(C3)N4)c12,1,0,4,TRUE,TRUE,1,TRUE
sp3,Fc1ccc2cccc(-c3ncc4c(nc(OCC56CCCN5CCC6)nc4c3F)N3CC4CCC(C3)N4)c2c1F,1,0,1,TRUE,TRUE,1,TRUE
sp4,Oc1cc(-c2ncc3c(nc(OCC4CCCN5CCCC45)nc3c2F)N2CC3CCC(C2)N3)c2ccccc2c1,1,0,4,TRUE,TRUE,1,TRUE
sp5,Fc1ccc2cccc(-c3nc4CCC[C@@H]5[C@@H]6CC[C@H](CN5c5nc(OC[C@@]78CCCN7[C@H](COc7cc(cnn7)C(F)(F)F)CC8)nc(c3F)c45)N6)c2c1C#C,0,0,4,TRUE,TRUE,3,TRUE
sp6,Fc1ccc2cccc(-c3nc4CCC[C@@H]5[C@@H]6CC[C@H](CN5c5nc(OC[C@@]78CCCN7[C@H](CSc7cc(ncn7)C(F)(F)F)CC8)nc(c3F)c45)N6)c2c1C#C,0,0,4,TRUE,TRUE,3,TRUE
sp7,Fc1ccc2cccc(-c3ncc4c(nc(OCC56CCCN5CCC6)nc4c3F)N3CC4CCC(C3)N4)c2c1,1,0,1,TRUE,TRUE,0,TRUE
sp8,CCC[C@@H]1NCCN2[C@@H]1CCCc1nc(c(F)c3nc(OC[C@@]45CCCN4[C@H](COc4cnc(cn4)C(F)(F)F)CC5)nc2c13)-c1cccc2ccc(F)c(C#C)c12,0,0,4,TRUE,TRUE,3,TRUE
sp9,FC(F)c1cncnc1OC[C@@H]1CC[C@]2(COc3nc4N5C[C@H]6CC[C@H](N6)[C@H]5CCCc5nc(c(F)c(n3)c45)-c3cccc4ccc(F)c(C#C)c34)CCCN12,0,0,4,TRUE,TRUE,3,TRUE
sp10,C#Cc1c(F)ccc2cc(O)cc(-c3nc4c5c(nc(OC[C@@]67CCCN6C/C(=C\F)C7)nc5c3F)N3CCCOC[C@@H]3CC4)c12,1,0,4,TRUE,TRUE,2,TRUE
sp11,C[C@]12CC[C@H](N1)[C@H]1CCc3nc(c(F)c4nc(OCC5(CN6CCC(F)CC6)CC5)nc(N1C2)c34)-c1cc(O)cc2ccc(F)c(C#C)c12,0,0,4,TRUE,TRUE,3,TRUE
sp12,C[C@H]1Cc2cc(c(F)c3nc(OC[C@@]45CCCN4C[C@H](F)C5)nc(N4C[C@H]5CC[C@H](N5)[C@H]14)c23)-c1cc(N)cc2ccc(F)c(C#C)c12,0,0,4,TRUE,TRUE,3,TRUE
